Nquad,Fitness,Fitness2,Month,season,Age.stage,T.length,D.holdfast,N.stipe,D.stipe,Maturity,Rep.prev,Wave.exp,Density,Gall.prev,Temp,Sal,ph
11,Malformed,1,Apr,fall,Juvenile,150,5,12,1.2,Fertile,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,74,4,8,0.5,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,56,6,8,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,145,5,15,0.9,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,147,3,19,1.2,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,100,4,23,1,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,44,2.5,9,0.6,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,85,6,15,0.9,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,45,3,7,0.4,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,45,2,8,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,56,3,9,0.4,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,76,4,12,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,76,6,13,0.5,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,56,3,8,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,75,2,7,0.5,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,56,4,8,0.7,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,87,4,9,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,75,3,7,0.5,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,78,3,11,0.6,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,56,5,8,0.5,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,78,3,9,0.9,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,89,2,8,0.5,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,96,3,15,0.7,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,45,2,6,1,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,7,0.1,3,0.1,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,11,0.4,5,0.1,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,14,0.2,3,0.1,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,145,3,2,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,120,4,6,1,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,89,3,4,0.9,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,78,2,17,0.7,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Recruit,56,3,8,0.4,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,145,3.5,9,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,100,3,19,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,145,6,18,0.9,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
11,Shapely,0,Apr,fall,Juvenile,147,3,19,0.8,Immature,0.119047619,Exposed,42,0.1666666667,17.3,34,8.11
12,Malformed,1,Apr,fall,Adult,187,9,8,1.4,Fertile,0.5,Exposed,8,0.5,17.3,34,8.11
12,Malformed,1,Apr,fall,Adult,187,6,3,1,Fertile,0.5,Exposed,8,0.5,17.3,34,8.11
12,Malformed,1,Apr,fall,Adult,147,8.9,8,1.1,Fertile,0.5,Exposed,8,0.5,17.3,34,8.11
12,Malformed,1,Apr,fall,Adult,189,5,8,1,Fertile,0.5,Exposed,8,0.5,17.3,34,8.11
12,Shapely,0,Apr,fall,Juvenile,145,3,9,0.5,Immature,0.5,Exposed,8,0.5,17.3,34,8.11
12,Shapely,0,Apr,fall,Juvenile,100,2,5,0.9,Immature,0.5,Exposed,8,0.5,17.3,34,8.11
12,Shapely,0,Apr,fall,Juvenile,100,5,9,0.9,Immature,0.5,Exposed,8,0.5,17.3,34,8.11
12,Shapely,0,Apr,fall,Juvenile,120,5,13,0.8,Immature,0.5,Exposed,8,0.5,17.3,34,8.11
13,Malformed,1,Apr,fall,Adult,125,6.5,12,1.3,Fertile,0.5,Exposed,6,0.5,17.3,34,8.11
13,Malformed,1,Apr,fall,Adult,104,6,9,0.7,Fertile,0.5,Exposed,6,0.5,17.3,34,8.11
13,Malformed,1,Apr,fall,Adult,210,7.5,9,1,Fertile,0.5,Exposed,6,0.5,17.3,34,8.11
13,Shapely,0,Apr,fall,Adult,190,9.5,13,1,Immature,0.5,Exposed,6,0.5,17.3,34,8.11
13,Shapely,0,Apr,fall,Adult,250,10,7,1.5,Immature,0.5,Exposed,6,0.5,17.3,34,8.11
13,Shapely,0,Apr,fall,Recruit,9,0.4,0.1,0.1,Immature,0.5,Exposed,6,0.5,17.3,34,8.11
1,Shapely,0,Aug,winter,Adult,120,10.5,44,0.6,Fertile,0.5,Semi-exposed,2,0,15.6,33.2,7.86
1,Shapely,0,Aug,winter,Adult,46,14.5,12,0.6,Immature,0.5,Semi-exposed,2,0,15.6,33.2,7.86
2,Shapely,0,Aug,winter,Adult,118,10.5,34,0.6,Fertile,0.5,Semi-exposed,8,0,15.6,33.2,7.86
2,Shapely,0,Aug,winter,Adult,155,2.5,2,0.6,Immature,0.5,Semi-exposed,8,0,15.6,33.2,7.86
2,Shapely,0,Aug,winter,Adult,145,5.5,11,0.5,Immature,0.5,Semi-exposed,8,0,15.6,33.2,7.86
2,Shapely,0,Aug,winter,Adult,160,12.6,15,0.6,Immature,0.5,Semi-exposed,8,0,15.6,33.2,7.86
2,Shapely,0,Aug,winter,Adult,129,8.2,36,0.4,Fertile,0.5,Semi-exposed,8,0,15.6,33.2,7.86
2,Shapely,0,Aug,winter,Juvenile,110,5.8,11,0.5,Fertile,0.5,Semi-exposed,8,0,15.6,33.2,7.86
2,Shapely,0,Aug,winter,Adult,98,7.4,32,0.7,Immature,0.5,Semi-exposed,8,0,15.6,33.2,7.86
2,Shapely,0,Aug,winter,Adult,150,7.5,37,0.6,Fertile,0.5,Semi-exposed,8,0,15.6,33.2,7.86
3,Malformed,1,Aug,winter,Adult,107,8.9,45,0.9,Immature,0.25,Semi-exposed,4,0.25,15.6,33.2,7.86
3,Shapely,0,Aug,winter,Adult,106,8,15,0.8,Fertile,0.25,Semi-exposed,4,0.25,15.6,33.2,7.86
3,Shapely,0,Aug,winter,Adult,100,8.4,16,0.7,Immature,0.25,Semi-exposed,4,0.25,15.6,33.2,7.86
3,Shapely,0,Aug,winter,Adult,37,12,6,0.5,Immature,0.25,Semi-exposed,4,0.25,15.6,33.2,7.86
4,Malformed,1,Aug,winter,Adult,105,10,32,0.9,Fertile,0.5,Semi-exposed,6,0.5,15.6,33.2,7.86
4,Malformed,1,Aug,winter,Adult,112,15,41,0.6,Immature,0.5,Semi-exposed,6,0.5,15.6,33.2,7.86
4,Malformed,1,Aug,winter,Adult,129,7.6,18,0.6,Fertile,0.5,Semi-exposed,6,0.5,15.6,33.2,7.86
4,Shapely,0,Aug,winter,Adult,180,11.8,28,1,Immature,0.5,Semi-exposed,6,0.5,15.6,33.2,7.86
4,Shapely,0,Aug,winter,Recruit,20,3.5,9,0.3,Immature,0.5,Semi-exposed,6,0.5,15.6,33.2,7.86
4,Shapely,0,Aug,winter,Adult,160,13.5,57,0.7,Fertile,0.5,Semi-exposed,6,0.5,15.6,33.2,7.86
5,Malformed,1,Aug,winter,Adult,185,4.5,15,0.9,Immature,0.2,Exposed,5,0.2,15.6,33.2,7.86
5,Shapely,0,Aug,winter,Juvenile,45,3.4,11,0.5,Immature,0.2,Exposed,5,0.2,15.6,33.2,7.86
5,Shapely,0,Aug,winter,Juvenile,42,2.3,7,0.3,Immature,0.2,Exposed,5,0.2,15.6,33.2,7.86
5,Shapely,0,Aug,winter,Juvenile,114,5.8,34,0.7,Immature,0.2,Exposed,5,0.2,15.6,33.2,7.86
5,Shapely,0,Aug,winter,Adult,190,6,28,0.6,Fertile,0.2,Exposed,5,0.2,15.6,33.2,7.86
6,Malformed,1,Aug,winter,Adult,175,15,9,4.3,Fertile,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Malformed,1,Aug,winter,Adult,240,15.9,32,1,Fertile,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Shapely,0,Aug,winter,Adult,205,11,43,0.6,Fertile,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Shapely,0,Aug,winter,Juvenile,50,2.9,11,0.3,Immature,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Shapely,0,Aug,winter,Adult,203,4.7,17,0.7,Immature,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Shapely,0,Aug,winter,Adult,115,8,21,0.7,Fertile,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Shapely,0,Aug,winter,Juvenile,70,3.5,7,0.6,Immature,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Shapely,0,Aug,winter,Juvenile,110,7.5,18,0.8,Immature,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Shapely,0,Aug,winter,Juvenile,75,5.6,14,0.5,Immature,0.5,Exposed,10,0.2,15.6,33.2,7.86
6,Shapely,0,Aug,winter,Adult,210,6.9,21,0.7,Fertile,0.5,Exposed,10,0.2,15.6,33.2,7.86
7,Malformed,1,Aug,winter,Adult,200,15,47,1.3,Immature,0.3333333333,Exposed,6,0.3333333333,15.6,33.2,7.86
7,Malformed,1,Aug,winter,Juvenile,50,3.8,9,0.5,Immature,0.3333333333,Exposed,6,0.3333333333,15.6,33.2,7.86
7,Shapely,0,Aug,winter,Adult,233,11,45,1.1,Fertile,0.3333333333,Exposed,6,0.3333333333,15.6,33.2,7.86
7,Shapely,0,Aug,winter,Juvenile,60,5,12,0.4,Immature,0.3333333333,Exposed,6,0.3333333333,15.6,33.2,7.86
7,Shapely,0,Aug,winter,Juvenile,56,7.4,16,0.6,Immature,0.3333333333,Exposed,6,0.3333333333,15.6,33.2,7.86
7,Shapely,0,Aug,winter,Adult,200,15.4,57,0.8,Fertile,0.3333333333,Exposed,6,0.3333333333,15.6,33.2,7.86
8,Malformed,1,Aug,winter,Adult,280,15.5,17,1.5,Fertile,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Malformed,1,Aug,winter,Adult,235,14.9,16,1.3,Fertile,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Malformed,1,Aug,winter,Adult,210,8.3,25,0.8,Immature,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Malformed,1,Aug,winter,Adult,243,12,13,1.9,Immature,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Malformed,1,Aug,winter,Adult,290,15.5,9,1.1,Fertile,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Shapely,0,Aug,winter,Juvenile,101,4.1,9,0.6,Immature,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Shapely,0,Aug,winter,Adult,210,14.4,30,1,Immature,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Shapely,0,Aug,winter,Adult,213,8.4,30,1.1,Fertile,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Shapely,0,Aug,winter,Juvenile,64,2.8,4,1,Immature,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Shapely,0,Aug,winter,Juvenile,73,6.4,6,0.2,Immature,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
8,Shapely,0,Aug,winter,Adult,235,11,45,1.1,Fertile,0.4545454545,Exposed,11,0.4545454545,15.6,33.2,7.86
9,Malformed,1,Aug,winter,Adult,147,12.5,24,1,Immature,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
9,Malformed,1,Aug,winter,Adult,242,14.5,44,0.7,Fertile,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
9,Malformed,1,Aug,winter,Adult,235,15,82,1.1,Fertile,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
9,Malformed,1,Aug,winter,Adult,339,15.5,58,0.9,Fertile,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
9,Shapely,0,Aug,winter,Juvenile,40,4.8,9,0.2,Immature,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
9,Shapely,0,Aug,winter,Adult,118,7.7,21,0.6,Immature,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
9,Shapely,0,Aug,winter,Adult,175,14,41,1,Fertile,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
9,Shapely,0,Aug,winter,Adult,220,11.3,31,0.9,Fertile,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
9,Shapely,0,Aug,winter,Juvenile,47,4.8,10,0.5,Immature,0.5555555556,Exposed,9,0.4444444444,15.6,33.2,7.86
10,Malformed,1,Aug,winter,Adult,86,7,13,0.6,Immature,0.3333333333,Exposed,12,0.3333333333,15.6,33.2,7.86
10,Malformed,1,Aug,winter,Adult,155,11.5,13,1.2,Fertile,0.3333333333,Exposed,12,0.3333333333,15.6,33.2,7.86
10,Malformed,1,Aug,winter,Adult,205,10.5,5,2,Fertile,0.3333333333,Exposed,12,0.3333333333,15.6,33.2,7.86
10,Malformed,1,Aug,winter,Juvenile,144,5.4,15,0.6,Immature,0.3333333333,Exposed,12,0.3333333333,15.6,33.2,7.86
10,Shapely,0,Aug,winter,Adult,86,5.7,15,0.5,Immature,0.3333333333,Exposed,12,0.3333333333,15.6,33.2,7.86
10,Shapely,0,Aug,winter,Juvenile,88,4.4,7,0.6,Immature,0.3333333333,Exposed,12,0.3333333333,15.6,33.2,7.86
