Nquad,Fitness,Month,Age.stage,T.length,D.holdfast,N.stipe,D.stipe,Maturity,Rep.prev,Wave.exp,Density,Gall.prev,Temp,Sal,ph
8,Shapely,Jul,Adult,262,15,22,1,Fertile,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
8,Shapely,Jul,Adult,170,8.5,27,0.9,Immature,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
8,Shapely,Jul,Adult,106,4.5,11,0.5,Immature,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
8,Shapely,Jul,Adult,165,12,33,0.9,Immature,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
8,Shapely,Jul,Adult,215,11,15,0.9,Fertile,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
8,Shapely,Jul,Juvenile,73,5.3,7,0.4,Immature,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
8,Shapely,Jul,Adult,178,8.6,29,0.5,Immature,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
8,Malformed,Jul,Adult,150,15,12,1.3,Immature,0.3333333333,Exposed,9,0.2222222222,15.5,33.5,8.1
9,Shapely,Jul,Adult,180,9.2,41,0.7,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Shapely,Jul,Adult,205,12,36,0.9,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Shapely,Jul,Juvenile,46,4.3,11,0.2,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Shapely,Jul,Adult,145,11,26,0.9,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Malformed,Jul,Adult,220,15,88,1,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Malformed,Jul,Adult,242,15,70,0.9,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Shapely,Jul,Juvenile,46,3.5,10,0.6,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Shapely,Jul,Juvenile,53,6,19,0.5,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Shapely,Jul,Juvenile,94,4.5,9,0.5,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
9,Shapely,Jul,Juvenile,76,7,28,0.5,Immature,0,Exposed,10,0.2,15.5,33.5,8.1
10,Malformed,Jul,Juvenile,60,6.7,1,0.9,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Shapely,Jul,Juvenile,95,6.5,12,0.6,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Shapely,Jul,Adult,88,7.9,11,1,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Malformed,Jul,Adult,63,9,8,0.8,Fertile,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Malformed,Jul,Adult,210,15,6,1.4,Fertile,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Shapely,Jul,Recruit,18,1.4,3,0.1,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Shapely,Jul,Recruit,40,2.2,17,0.3,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Shapely,Jul,Juvenile,92,4.2,10,0.5,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Shapely,Jul,Adult,200,11,25,0.6,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Shapely,Jul,Juvenile,117,7,26,0.4,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Shapely,Jul,Juvenile,85,4.5,9,0.6,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
10,Malformed,Jul,Adult,220,14.5,38,1,Immature,0.1666666667,Exposed,12,0.3333333333,15.5,33.5,8.1
11,Malformed,Jul,Adult,160,15,81,1.5,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Shapely,Jul,Recruit,18,3.4,6,0.2,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Malformed,Jul,Adult,235,12,36,1.1,Fertile,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Malformed,Jul,Adult,139,9.2,6,0.9,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Shapely,Jul,Juvenile,22,4.4,12,0.4,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Shapely,Jul,Recruit,20,3,9,0.3,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Malformed,Jul,Adult,210,13.9,29,1.1,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Shapely,Jul,Adult,192,12.1,34,0.6,Fertile,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Shapely,Jul,Recruit,28,2.4,9,0.5,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Shapely,Jul,Juvenile,114,10,18,0.9,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
11,Shapely,Jul,Juvenile,63,4.2,6,1,Immature,0.1818181818,Exposed,11,0.3636363636,15.5,33.5,8.1
12,Shapely,Jul,Adult,150,7.5,47,0.6,Immature,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Shapely,Jul,Juvenile,57,4,12,0.2,Immature,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Shapely,Jul,Adult,190,12.3,33,0.5,Fertile,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Shapely,Jul,Juvenile,58,4.3,20,0.4,Immature,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Shapely,Jul,Juvenile,198,5.6,9,0.9,Immature,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Shapely,Jul,Adult,165,8.2,15,0.9,Immature,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Malformed,Jul,Adult,210,7.1,11,1,Fertile,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Malformed,Jul,Adult,205,9.5,7,1,Fertile,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Shapely,Jul,Adult,204,14.5,2,1.3,Fertile,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Shapely,Jul,Recruit,28,3.6,7,0.2,Immature,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
12,Shapely,Jul,Recruit,30,3,16,0.3,Immature,0.3636363636,Exposed,11,0.1818181818,15.5,33.5,8.1
13,Malformed,Jul,Adult,97,15,35,0.8,Immature,0.1666666667,Exposed,12,0.25,15.5,33.5,8.1
13,Malformed,Jul,Adult,51,11,20,0.7,Immature,0.1666666667,Exposed,12,0.25,15.5,33.5,8.1
13,Shapely,Jul,Juvenile,58,5,19,0.4,Immature,0.1666666667,Exposed,12,0.25,15.5,33.5,8.1
13,Shapely,Jul,Recruit,10,0.5,1,0.1,Immature,0.1666666667,Exposed,12,0.25,15.5,33.5,8.1
13,Shapely,Jul,Juvenile,52,4,6,0.2,Immature,0.1666666667,Exposed,12,0.25,15.5,33.5,8.1
13,Shapely,Jul,Adult,124,13,29,0.9,Fertile,0.1666666667,Exposed,12,0.25,15.5,33.5,8.1
